class,identity,path,detail
"http_handler","GET /api/campaigns/[id]/build-assets","src/app/api/campaigns/[id]/build-assets/route.ts","GET"
"http_handler","GET /api/campaigns/[id]/meta-activation","src/app/api/campaigns/[id]/meta-activation/route.ts","GET"
"http_handler","GET /api/campaigns/[id]/optimization-policy","src/app/api/campaigns/[id]/optimization-policy/route.ts","GET"
"http_handler","GET /api/campaigns/[id]/optimize","src/app/api/campaigns/[id]/optimize/route.ts","GET"
"http_handler","GET /api/campaigns/[id]/schedule-launch","src/app/api/campaigns/[id]/schedule-launch/route.ts","GET"
"http_handler","GET /api/dashboard","src/app/api/dashboard/route.ts","GET"
"http_handler","GET /api/integrations/crm/marketplace/callback","src/app/api/integrations/crm/marketplace/callback/route.ts","GET"
"http_handler","GET /api/integrations/ghl/embed-context","src/app/api/integrations/ghl/embed-context/route.ts","GET"
"http_handler","GET /api/integrations/ghl/marketplace/callback","src/app/api/integrations/ghl/marketplace/callback/route.ts","GET"
"http_handler","GET /api/integrations/ghl/marketplace/connect","src/app/api/integrations/ghl/marketplace/connect/route.ts","GET"
"http_handler","GET /api/integrations/meta/callback","src/app/api/integrations/meta/callback/route.ts","GET"
"http_handler","GET /api/integrations/meta/connect","src/app/api/integrations/meta/connect/route.ts","GET"
"http_handler","GET /api/integrations/meta/status","src/app/api/integrations/meta/status/route.ts","GET"
"http_handler","GET /api/internal/ghl-form-sweep","src/app/api/internal/ghl-form-sweep/route.ts","GET"
"http_handler","GET /api/internal/release-identity","src/app/api/internal/release-identity/route.ts","GET"
"http_handler","GET /api/internal/system-jobs","src/app/api/internal/system-jobs/route.ts","GET"
"http_handler","GET /api/internal/zero-external-effects","src/app/api/internal/zero-external-effects/route.ts","GET"
"http_handler","GET /api/meta/data-deletion","src/app/api/meta/data-deletion/route.ts","GET"
"http_handler","GET /api/meta/leadgen/webhook","src/app/api/meta/leadgen/webhook/route.ts","GET"
"http_handler","GET /api/onboarding/plan","src/app/api/onboarding/plan/route.ts","GET"
"http_handler","GET /api/privacy/requests","src/app/api/privacy/requests/route.ts","GET"
"http_handler","GET /api/provider-media/higgsfield-source/[assetId]","src/app/api/provider-media/higgsfield-source/[assetId]/route.ts","GET"
"http_handler","GET /api/system-jobs","src/app/api/system-jobs/route.ts","GET"
"http_handler","GET /api/system-jobs/[id]/stream","src/app/api/system-jobs/[id]/stream/route.ts","GET"
"http_handler","GET /auth/callback","src/app/auth/callback/route.ts","GET"
"http_handler","GET /robots.txt","src/app/robots.txt/route.ts","GET"
"http_handler","GET /sitemap.xml","src/app/sitemap.xml/route.ts","GET"
"http_handler","GET /staging-private-image-gate-proof-v2/[commit]","src/app/staging-private-image-gate-proof-v2/[commit]/route.ts","GET"
"http_handler","PATCH /api/autonomy","src/app/api/autonomy/route.ts","PATCH"
"http_handler","PATCH /api/campaign/actions","src/app/api/campaign/actions/route.ts","PATCH"
"http_handler","PATCH /api/campaign/drafts","src/app/api/campaign/drafts/route.ts","PATCH"
"http_handler","POST /api/access-keys/checkout","src/app/api/access-keys/checkout/route.ts","POST"
"http_handler","POST /api/access-keys/preclaim","src/app/api/access-keys/preclaim/route.ts","POST"
"http_handler","POST /api/access-keys/reveal-ack","src/app/api/access-keys/reveal-ack/route.ts","POST"
"http_handler","POST /api/account-deletion","src/app/api/account-deletion/route.ts","POST"
"http_handler","POST /api/activation/events","src/app/api/activation/events/route.ts","POST"
"http_handler","POST /api/admin/access-keys/[id]/revoke","src/app/api/admin/access-keys/[id]/revoke/route.ts","POST"
"http_handler","POST /api/auth/mfa","src/app/api/auth/mfa/route.ts","POST"
"http_handler","POST /api/auth/session","src/app/api/auth/session/route.ts","POST"
"http_handler","POST /api/autonomy/run","src/app/api/autonomy/run/route.ts","POST"
"http_handler","POST /api/billing/checkout","src/app/api/billing/checkout/route.ts","POST"
"http_handler","POST /api/billing/credits/checkout","src/app/api/billing/credits/checkout/route.ts","POST"
"http_handler","POST /api/billing/portal","src/app/api/billing/portal/route.ts","POST"
"http_handler","POST /api/build-campaign","src/app/api/build-campaign/route.ts","POST"
"http_handler","POST /api/campaign/runtime","src/app/api/campaign/runtime/route.ts","POST"
"http_handler","POST /api/campaigns","src/app/api/campaigns/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/assets","src/app/api/campaigns/[id]/assets/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/generate-static-ads","src/app/api/campaigns/[id]/generate-static-ads/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/generate-video","src/app/api/campaigns/[id]/generate-video/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/launch","src/app/api/campaigns/[id]/launch/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/optimization-policy","src/app/api/campaigns/[id]/optimization-policy/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/optimize","src/app/api/campaigns/[id]/optimize/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/publish","src/app/api/campaigns/[id]/publish/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/schedule-launch","src/app/api/campaigns/[id]/schedule-launch/route.ts","POST"
"http_handler","POST /api/campaigns/[id]/select-ad","src/app/api/campaigns/[id]/select-ad/route.ts","POST"
"http_handler","POST /api/campaigns/create","src/app/api/campaigns/create/route.ts","POST"
"http_handler","POST /api/client-errors","src/app/api/client-errors/route.ts","POST"
"http_handler","POST /api/feedback","src/app/api/feedback/route.ts","POST"
"http_handler","POST /api/generate-creatives","src/app/api/generate-creatives/route.ts","POST"
"http_handler","POST /api/generate-funnel","src/app/api/generate-funnel/route.ts","POST"
"http_handler","POST /api/integrations/ghl/embed-context","src/app/api/integrations/ghl/embed-context/route.ts","POST"
"http_handler","POST /api/integrations/ghl/marketplace/bootstrap","src/app/api/integrations/ghl/marketplace/bootstrap/route.ts","POST"
"http_handler","POST /api/integrations/ghl/webhook","src/app/api/integrations/ghl/webhook/route.ts","POST"
"http_handler","POST /api/integrations/meta/leadgen/routes","src/app/api/integrations/meta/leadgen/routes/route.ts","POST"
"http_handler","POST /api/integrations/meta/selections","src/app/api/integrations/meta/selections/route.ts","POST"
"http_handler","POST /api/integrations/meta/sync","src/app/api/integrations/meta/sync/route.ts","POST"
"http_handler","POST /api/internal/account-deletion-worker","src/app/api/internal/account-deletion-worker/route.ts","POST"
"http_handler","POST /api/internal/ghl-form-sweep","src/app/api/internal/ghl-form-sweep/route.ts","POST"
"http_handler","POST /api/internal/ghl-worker","src/app/api/internal/ghl-worker/route.ts","POST"
"http_handler","POST /api/internal/qa-auth-session","src/app/api/internal/qa-auth-session/route.ts","POST"
"http_handler","POST /api/internal/stripe-test-proof","src/app/api/internal/stripe-test-proof/route.ts","POST"
"http_handler","POST /api/internal/system-jobs","src/app/api/internal/system-jobs/route.ts","POST"
"http_handler","POST /api/lead-capture","src/app/api/lead-capture/route.ts","POST"
"http_handler","POST /api/lead-tracking/browser-pixel","src/app/api/lead-tracking/browser-pixel/route.ts","POST"
"http_handler","POST /api/meta/data-deletion","src/app/api/meta/data-deletion/route.ts","POST"
"http_handler","POST /api/meta/leadgen/webhook","src/app/api/meta/leadgen/webhook/route.ts","POST"
"http_handler","POST /api/onboarding/plan","src/app/api/onboarding/plan/route.ts","POST"
"http_handler","POST /api/privacy/requests","src/app/api/privacy/requests/route.ts","POST"
"http_handler","POST /api/sms/twilio","src/app/api/sms/twilio/route.ts","POST"
"http_handler","POST /api/stripe/webhook","src/app/api/stripe/webhook/route.ts","POST"
"http_handler","POST /api/support/delivery-callback","src/app/api/support/delivery-callback/route.ts","POST"
"http_handler","POST /api/webhooks/twilio/status","src/app/api/webhooks/twilio/status/route.ts","POST"
"http_handler","POST /api/workspaces/active","src/app/api/workspaces/active/route.ts","POST"
"http_handler","PUT /api/onboarding/plan","src/app/api/onboarding/plan/route.ts","PUT"
"migration","20260426000000_forward_foundation_bootstrap","supabase/migrations/20260426000000_forward_foundation_bootstrap.sql","229de085be0720bd620790991527a0a638157b9debc5faefe0cda3b4f35837bc"
"migration","20260426110000_add_campaign_plan_critical_fields","supabase/migrations/20260426110000_add_campaign_plan_critical_fields.sql","ae2d7ed01d0a61889efdb8f2fab2c7755409ee4c256f0a5310d37f84e96cc988"
"migration","20260426110100_create_stripe_webhook_events","supabase/migrations/20260426110100_create_stripe_webhook_events.sql","abcfb104c6c04c2fc896e86dc56c9c0fbf1c0ce153c6e2b986ccdf49b3d30179"
"migration","20260427110000_create_system_jobs","supabase/migrations/20260427110000_create_system_jobs.sql","8f52fcdec5e9544d8611cee854d412ad4b8fc0a6f01e11b104d0cc4fbbb8b0fb"
"migration","20260427120000_create_billing_subscriptions","supabase/migrations/20260427120000_create_billing_subscriptions.sql","70446667521be688db74b8f242ac2140f5eec67724c748afdd66f325f3e8798e"
"migration","20260427130000_add_meta_and_campaign_operator_columns","supabase/migrations/20260427130000_add_meta_and_campaign_operator_columns.sql","098d5ccbade517e989fd000237ff0bab182a1131d94f30931a58bbad0e2547c4"
"migration","20260427140000_harden_stripe_webhook_events","supabase/migrations/20260427140000_harden_stripe_webhook_events.sql","df91ad002991d08b2f609ccd3681db751937805c336f940b632134b9ca0b6d2f"
"migration","20260428002000_add_meta_tracking_columns","supabase/migrations/20260428002000_add_meta_tracking_columns.sql","f96f2be109834315ba1fb34312befb78b645384a9b9229137875bb75900d566c"
"migration","20260428030000_scale_idempotency_and_limits","supabase/migrations/20260428030000_scale_idempotency_and_limits.sql","b7ce03a15adf53ac74c132d3e9208101a78cf288ca8948701ba26a2b72d2ff00"
"migration","20260428033000_create_lead_messages","supabase/migrations/20260428033000_create_lead_messages.sql","323b10025d78c063650e3f7758197c5e4c96a68b36601cbafb05db7b07a2fdd6"
"migration","20260428034000_set_schema_version_20260428","supabase/migrations/20260428034000_set_schema_version_20260428.sql","92fc2c0c36376ab882f828f83068425efc8e08383ba3a07e1e86ab10d9881f63"
"migration","20260428120000_harden_scale_primitives","supabase/migrations/20260428120000_harden_scale_primitives.sql","5e3fbecf045a03c38bd1801c71a138332bb984e79bab8c853166b66110e0947c"
"migration","20260428123000_fix_rate_limit_bucket_shape","supabase/migrations/20260428123000_fix_rate_limit_bucket_shape.sql","d095cc7d5561003bba74b04791b6afde8dc01e7b6b29d7d47b1b1ae2f2dc988d"
"migration","20260428124500_harden_job_claim_dead_letters","supabase/migrations/20260428124500_harden_job_claim_dead_letters.sql","c886bdf0834784a180249f42a7026948b6203d92403e7d9a000e6cb661c786be"
"migration","20260428130000_enable_rls_internal_tables","supabase/migrations/20260428130000_enable_rls_internal_tables.sql","82166725f2510982c0f08409aa9fae983179270c2a6dbdfb9687a49caaab18c7"
"migration","20260428132000_harden_internal_job_runner_access","supabase/migrations/20260428132000_harden_internal_job_runner_access.sql","cb4c8e4fad092e359b538ad9b2d41af2d01dae283f3a1e559f52178a3cecebcb"
"migration","20260428140000_harden_billing_subscription_webhooks","supabase/migrations/20260428140000_harden_billing_subscription_webhooks.sql","b3ed594f57bda05779447218d55124d4d3e22f528187bead34ff3a5f12e7f915"
"migration","20260428162000_harden_lead_message_idempotency","supabase/migrations/20260428162000_harden_lead_message_idempotency.sql","f26ce643c036d771e6d18bc396b773bb315788bda7f91aabf635c1a0daca6bf1"
"migration","20260428163000_harden_billing_event_ordering","supabase/migrations/20260428163000_harden_billing_event_ordering.sql","45267e99d56d82e8f81435cc7531dd26032ffee6dcf1219f4ca9e61b64ab22f0"
